run_tag,run_type,count
a100-sglang-qwen3-14b-official,agent_concurrent_detail,10
a100-sglang-qwen3-14b-official,agent_concurrent_summary,2
a100-sglang-qwen3-14b-official,agent_sequential_detail,10
a100-sglang-qwen3-14b-official,agent_sequential_summary,2
a100-sglang-qwen3-14b-official,batch,10
a100-sglang-qwen3-14b-official,concurrency_detail,100
a100-sglang-qwen3-14b-official,concurrency_summary,4
a100-sglang-qwen3-14b-official,single_prompt,1
a100-sglang-qwen3-4b-official,agent_concurrent_detail,10
a100-sglang-qwen3-4b-official,agent_concurrent_summary,2
a100-sglang-qwen3-4b-official,agent_sequential_detail,10
a100-sglang-qwen3-4b-official,agent_sequential_summary,2
a100-sglang-qwen3-4b-official,batch,10
a100-sglang-qwen3-4b-official,concurrency_detail,100
a100-sglang-qwen3-4b-official,concurrency_summary,4
a100-sglang-qwen3-4b-official,single_prompt,1
a100-sglang-qwen3-4b-smoke,single_prompt,1
a100-vllm-qwen3-14b-official,agent_concurrent_detail,10
a100-vllm-qwen3-14b-official,agent_concurrent_summary,2
a100-vllm-qwen3-14b-official,agent_sequential_detail,10
a100-vllm-qwen3-14b-official,agent_sequential_summary,2
a100-vllm-qwen3-14b-official,batch,10
a100-vllm-qwen3-14b-official,concurrency_detail,100
a100-vllm-qwen3-14b-official,concurrency_summary,4
a100-vllm-qwen3-14b-official,single_prompt,1
a100-vllm-qwen3-32b-official,agent_concurrent_detail,10
a100-vllm-qwen3-32b-official,agent_concurrent_summary,2
a100-vllm-qwen3-32b-official,agent_sequential_detail,10
a100-vllm-qwen3-32b-official,agent_sequential_summary,2
a100-vllm-qwen3-32b-official,batch,10
a100-vllm-qwen3-32b-official,concurrency_detail,100
a100-vllm-qwen3-32b-official,concurrency_summary,4
a100-vllm-qwen3-32b-official,single_prompt,1
a100-vllm-qwen3-4b-official,agent_concurrent_detail,10
a100-vllm-qwen3-4b-official,agent_concurrent_summary,2
a100-vllm-qwen3-4b-official,agent_sequential_detail,10
a100-vllm-qwen3-4b-official,agent_sequential_summary,2
a100-vllm-qwen3-4b-official,batch,10
a100-vllm-qwen3-4b-official,concurrency_detail,100
a100-vllm-qwen3-4b-official,concurrency_summary,4
a100-vllm-qwen3-4b-official,single_prompt,1
